Title,Map Point,Item Type
ARC Blue Light Phone,GEOMETRYCOLLECTION(POINT(-122.05971 36.99437)),8
ARC Elevator,GEOMETRYCOLLECTION(POINT(-122.0594 36.99432)),8
Barn G Bus Stop,GEOMETRYCOLLECTION(POINT(-122.05199 36.98133)),8
Baskin Engineering Bus Stop,GEOMETRYCOLLECTION(POINT(-122.06228 37.00001)),8
Baytree Blue Light Phone,GEOMETRYCOLLECTION(POINT(-122.05558 36.99776)),8
Baytree Bookstore North Elevator,GEOMETRYCOLLECTION(POINT(-122.05565 36.99799)),8
Baytree Bookstore South Elevator,GEOMETRYCOLLECTION(POINT(-122.05548 36.99777)),8
College 10 R4 Elevator,GEOMETRYCOLLECTION(POINT(-122.05937 37.00035)),8
College 10 Social Sciences 2 Elevator,GEOMETRYCOLLECTION(POINT(-122.05873 37.001)),8
College 8 Commons Elevator,GEOMETRYCOLLECTION(POINT(-122.06469 36.99117)),8
College 8 Foot Path,GEOMETRYCOLLECTION(POINT(-122.06311 36.99062)),8
College 8 Academic Elevator,GEOMETRYCOLLECTION(POINT(-122.06468 36.99184)),8
College 8 Cafe Elevator,GEOMETRYCOLLECTION(POINT(-122.06438 36.99143)),8
College 9 Apartments Elevator,GEOMETRYCOLLECTION(POINT(-122.05908 37.00261)),8
College 9 Apartment 5 Building,GEOMETRYCOLLECTION(POINT(-122.0586 37.00327)),8
College 9 DIN FR8,GEOMETRYCOLLECTION(POINT(-122.05713 37.00168)),8
College 9 DIN PAS,GEOMETRYCOLLECTION(POINT(-122.05817 37.00101)),8
College 9 R2 EL,GEOMETRYCOLLECTION(POINT(-122.05735 37.00121)),8
College 9 Social Sciences 1 Elevator,GEOMETRYCOLLECTION(POINT(-122.05806 37.0023)),8
Center for Adaptive Optics Elevator,GEOMETRYCOLLECTION(POINT(-122.06046 36.99827)),8
Chinquapin Rd Blue Light Telephone East,GEOMETRYCOLLECTION(POINT(-122.05508 37.00224)),8
Chinquapin Blue Light Telephone West,GEOMETRYCOLLECTION(POINT(-122.05314 37.00214)),8
Communications Building,GEOMETRYCOLLECTION(POINT(-122.06182 37.00092)),8
Cook House Elevator,GEOMETRYCOLLECTION(POINT(-122.05447 36.97894)),8
Core West Parking 1 East,GEOMETRYCOLLECTION(POINT(-122.06363 36.99968)),8
Core West Parking 1 North,GEOMETRYCOLLECTION(POINT(-122.06365 36.99898)),8
Core West Parking 1 West,GEOMETRYCOLLECTION(POINT(-122.06419 36.99893)),8
Core West Parking 2 East,GEOMETRYCOLLECTION(POINT(-122.06311 36.99943)),8
Core West Parking 2 North,GEOMETRYCOLLECTION(POINT(-122.06312 36.9989)),8
Core West Parking 2 West,GEOMETRYCOLLECTION(POINT(-122.06407 36.99919)),8
Core West Parking 3 East,GEOMETRYCOLLECTION(POINT(-122.06347 36.99964)),8
Core West Parking 3 North,GEOMETRYCOLLECTION(POINT(-122.06323 36.99954)),8
Core West Parking 3 West,GEOMETRYCOLLECTION(POINT(-122.06385 36.99952)),8
Core West Parking 4 East,GEOMETRYCOLLECTION(POINT(-122.06329 36.99913)),8
Core West Parking 4 North,GEOMETRYCOLLECTION(POINT(-122.06335 36.9994)),8
Core West Parking 4 West,GEOMETRYCOLLECTION(POINT(-122.06392 36.99931)),8
Core West Parking 5 East,GEOMETRYCOLLECTION(POINT(-122.06318 36.99913)),8
Core West Parking 5 North,GEOMETRYCOLLECTION(POINT(-122.06355 36.9993)),8
Core West Parking 5 West,GEOMETRYCOLLECTION(POINT(-122.06392 36.99924)),8
Core West Parking 6 East,GEOMETRYCOLLECTION(POINT(-122.06323 36.99919)),8
Core West Parking 6 North,GEOMETRYCOLLECTION(POINT(-122.06352 36.9993)),8
Core West Parking 6 West,GEOMETRYCOLLECTION(POINT(-122.06405 36.99914)),8
Core West Parking E Elevator,GEOMETRYCOLLECTION(POINT(-122.06323 36.9991)),8
Core West Parking W Elevator,GEOMETRYCOLLECTION(POINT(-122.06401 36.99919)),8
Cowell Dining Commons Elevator,GEOMETRYCOLLECTION(POINT(-122.05315 36.99694)),8
Cowell Elevator,GEOMETRYCOLLECTION(POINT(-122.05363 36.99731)),8
Cowell Left,GEOMETRYCOLLECTION(POINT(-122.05301 36.9969)),8
Cowell Service Rd,GEOMETRYCOLLECTION(POINT(-122.0541 36.99615)),8
Cowell whl,GEOMETRYCOLLECTION(POINT(-122.053 36.99694)),8
Digital Arts Research Center Elevator,GEOMETRYCOLLECTION(POINT(-122.0605 36.99386)),8
East Remote Blue Light Phone,GEOMETRYCOLLECTION(POINT(-122.05469 36.99137)),8
East Remote Middle,GEOMETRYCOLLECTION(POINT(-122.05328 36.99112)),8
East Remote Shuttle Stop,GEOMETRYCOLLECTION(POINT(-122.05209 36.99075)),8
Jack Baskin Engineering E2 Auditorium Lift,GEOMETRYCOLLECTION(POINT(-122.06262 37.00013)),8
Jack Basking Engineering 2 North,GEOMETRYCOLLECTION(POINT(-122.06263 37.0004)),8
Earth & Marine Sciences A Wing,GEOMETRYCOLLECTION(POINT(-122.05995 36.99787)),8
Earth & Marine Sciences  C Wing,GEOMETRYCOLLECTION(POINT(-122.0595 36.99797)),8
Earth & Marine Sciences Lobby,GEOMETRYCOLLECTION(POINT(-122.05986 36.99795)),8
Fire House Building,GEOMETRYCOLLECTION(POINT(-122.05554 37.00177)),8
Hagar Steinhart Way Bus Stop,GEOMETRYCOLLECTION(POINT(-122.05501 36.99745)),8
Hahn Parking Lot 1,GEOMETRYCOLLECTION(POINT(-122.05694 36.99561)),8
Hahn Parking Lot 2,GEOMETRYCOLLECTION(POINT(-122.05716 36.99533)),8
Hahn Parking Lot 3,GEOMETRYCOLLECTION(POINT(-122.05726 36.99483)),8
Hahn Elevator,GEOMETRYCOLLECTION(POINT(-122.05711 36.99577)),8
Cowell Health Center Building,GEOMETRYCOLLECTION(POINT(-122.05796 36.99944)),8
Cowell Health Center Elevator,GEOMETRYCOLLECTION(POINT(-122.05761 36.99934)),8
Cowell Health Center North,GEOMETRYCOLLECTION(POINT(-122.0566 36.99966)),8
Humanities 1 Elevator,GEOMETRYCOLLECTION(POINT(-122.05495 36.99843)),8
Humanities 2 Elevator,GEOMETRYCOLLECTION(POINT(-122.05464 36.99833)),8
Interdisiplinary Sciences Building Elevator,GEOMETRYCOLLECTION(POINT(-122.05996 36.99878)),8
Jack Baskin Engineering Bus Stop,GEOMETRYCOLLECTION(POINT(-122.06235 37.00008)),8
Jack Baskin Engineering Passenger Elevator,GEOMETRYCOLLECTION(POINT(-122.06316 37.00014)),8
Kerr Hall Elevator,GEOMETRYCOLLECTION(POINT(-122.06171 36.99699)),8
Kresge Elevator,GEOMETRYCOLLECTION(POINT(-122.06596 36.99658)),8
Krege Bus Stop,GEOMETRYCOLLECTION(POINT(-122.06459 36.99936)),8
Kresge Seminar,GEOMETRYCOLLECTION(POINT(-122.06675 36.99724)),8
Kresge Bus Stop,GEOMETRYCOLLECTION(POINT(-122.06451 36.99927)),8
Kresege J Building,GEOMETRYCOLLECTION(POINT(-122.06585 36.99663)),8
Kresge J Elevator,GEOMETRYCOLLECTION(POINT(-122.06576 36.99666)),8
Digital Arts Research Center,GEOMETRYCOLLECTION(POINT(-122.06033 36.9938)),8
McHenry Library Wing Elevator,GEOMETRYCOLLECTION(POINT(-122.06 36.99325)),8
McHenry East Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.05823 36.9958)),8
McHenry North Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.05912 36.9963)),8
McH2 FR EL,GEOMETRYCOLLECTION(POINT(-122.0578 36.99566)),8
McHenry Library 2 L Elevator,GEOMETRYCOLLECTION(POINT(-122.05921 36.99582)),8
McHenry Library R Elevator,GEOMETRYCOLLECTION(POINT(-122.05789 36.99566)),8
North Remote Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.06524 37.00183)),8
North Remote Center,GEOMETRYCOLLECTION(POINT(-122.06594 37.00244)),8
Natural Science 2 Elevator,GEOMETRYCOLLECTION(POINT(-122.06029 36.99839)),8
Natural Sciences 2 Annex Elevator,GEOMETRYCOLLECTION(POINT(-122.06122 36.99848)),8
Oakes Administration Building,GEOMETRYCOLLECTION(POINT(-122.06263 36.99001)),8
Oakes College Bus Stop,GEOMETRYCOLLECTION(POINT(-122.0661 36.99063)),8
Oakes College Learning Center,GEOMETRYCOLLECTION(POINT(-122.06317 36.98922)),8
OPERS Elevator,GEOMETRYCOLLECTION(POINT(-122.05406 36.99507)),8
Performing Arts Elevator,GEOMETRYCOLLECTION(POINT(-122.06253 36.99508)),8
Performing Arts J Elevator,GEOMETRYCOLLECTION(POINT(-122.06213 36.99439)),8
Performing Arts L Wcl,GEOMETRYCOLLECTION(POINT(-122.06202 36.99537)),8
Porter B 6,GEOMETRYCOLLECTION(POINT(-122.06484 36.99554)),8
Porter B 6 Elevator,GEOMETRYCOLLECTION(POINT(-122.06572 36.99457)),8
Porter B Ref 5,GEOMETRYCOLLECTION(POINT(-122.06558 36.99482)),8
Porter C Kitchen,GEOMETRYCOLLECTION(POINT(-122.06584 36.99471)),8
Porter C Stage,GEOMETRYCOLLECTION(POINT(-122.06615 36.99441)),8
Porter D Elevator,GEOMETRYCOLLECTION(POINT(-122.06544 36.99382)),8
Porter E,GEOMETRYCOLLECTION(POINT(-122.06517 36.99557)),8
Porter F,GEOMETRYCOLLECTION(POINT(-122.06512 36.9963)),8
Porter A Elevator,GEOMETRYCOLLECTION(POINT(-122.06492 36.99487)),8
Physical Biological Sciences Freight Elevator,GEOMETRYCOLLECTION(POINT(-122.06272 36.99957)),8
Physical Biological Sciences Passenger Elevator,GEOMETRYCOLLECTION(POINT(-122.06225 37.00004)),8
Porter Dining Elevator,GEOMETRYCOLLECTION(POINT(-122.06591 36.99446)),8
Recital Elevator,GEOMETRYCOLLECTION(POINT(-122.05977 36.99353)),8
Science Library Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.06019 36.99891)),8
Science Library Elevator,GEOMETRYCOLLECTION(POINT(-122.06104 36.99896)),8
Science Library Freight Elevator,GEOMETRYCOLLECTION(POINT(-122.06061 36.99889)),8
Stevenson 9 Building,GEOMETRYCOLLECTION(POINT(-122.05237 36.99651)),8
Stevenson 9 Elevator,GEOMETRYCOLLECTION(POINT(-122.05243 36.9967)),8
Stevenson Academic Elevator,GEOMETRYCOLLECTION(POINT(-122.05215 36.99743)),8
Stevenson Common Left,GEOMETRYCOLLECTION(POINT(-122.05233 36.99696)),8
Student Union Elevator,GEOMETRYCOLLECTION(POINT(-122.05591 36.99802)),8
Thimann Bus Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.06178 36.99782)),8
Thimann Elevator,GEOMETRYCOLLECTION(POINT(-122.06168 36.99755)),8
Village Bus Blue Light Telephone,GEOMETRYCOLLECTION(POINT(-122.05356 36.98558)),8
Village Entrance,GEOMETRYCOLLECTION(POINT(-122.05505 36.98517)),8
West Remote Center,GEOMETRYCOLLECTION(POINT(-122.06549 36.98866)),8
West Remote East,GEOMETRYCOLLECTION(POINT(-122.06469 36.98859)),8
West Remote West,GEOMETRYCOLLECTION(POINT(-122.06661 36.98869)),8
West Field House,GEOMETRYCOLLECTION(POINT(-122.06423 36.99133)),8